subject,run,n,CEN,DMN,PDA
rtbpd004,1,120,0.03245429597082632,0.23918299829650583,0.04445506350687176
rtbpd004,2,120,0.16172525925813833,0.04791004716721248,-0.18652418548949906
rtbpd004,3,120,0.12441138189179764,-0.027273632251045822,0.10069754089067169
rtbpd004,4,120,-0.0029542310710149143,0.1593380373217049,0.07837926626857904
rtbpd012,1,120,0.09931545509688068,0.2334762998099439,-0.08582292423791373
rtbpd012,2,120,0.008048286102054438,0.13662835360069642,-0.2028732264525048
rtbpd012,3,120,0.11765724647259994,0.06491509341250226,0.021777473070864438
rtbpd012,4,120,0.10465611920741597,0.17167417231709703,-0.16339583108995517
rtbpd012,5,120,-0.10863558100270793,-0.11271937458729739,-0.1184322669038954
rtbpd013,1,120,-0.026172170488893195,0.042002277572291705,-0.06735372640522777
rtbpd013,2,120,-0.0482093425786363,0.07461773224568505,-0.1917281970914561
rtbpd013,3,120,0.17178628848563993,0.08818219837526833,-0.019450986575234214
rtbpd013,4,120,0.11589410406104281,0.1201496769315745,-0.03792838858356571
rtbpd013,5,120,-0.0004625811041568832,-0.013592935182184915,0.0035100808924610144
rtbpd018,1,120,-0.015767556219353444,-0.038349985726417915,-0.07322814018948426
rtbpd018,2,120,0.12294814733481542,0.12553872312173003,0.17844418352028782
rtbpd018,3,120,0.32828825938024897,0.28516036942525524,0.037842474769486205
rtbpd018,4,120,0.06760739161777082,0.1160853998160952,-0.027670894794399666
rtbpd018,5,120,-0.07603558754299651,-0.06387944364107026,-0.23127374267429024
rtbpd020,1,120,-0.047706771884595975,-0.08737226663158185,0.005018670776330834
rtbpd020,2,120,0.12892731397024937,0.13126565561243675,-0.1957612470123616
rtbpd020,3,120,-0.01891928274269066,-0.10919191749877365,-0.22830860991452104
rtbpd020,4,120,0.040354369143407245,-0.05650475142812531,-0.09567401803538098
rtbpd020,5,120,-0.01654703617337131,0.18355498239067183,-0.28354327648773775
rtbpd021,1,120,-0.09027867246037109,0.12524925657798455,-0.07261336139476703
rtbpd021,2,120,0.11754463843144519,0.026470255610394136,0.14775431552717957
rtbpd021,3,120,0.017879379047500164,0.14280358243573138,-0.1283871879596055
rtbpd021,4,120,-0.05842356282199624,-0.22431600565239299,0.016067562662897446
rtbpd021,5,120,0.10232878241505254,0.10464020305408728,0.07132136676391972
rtbpd024,1,120,0.32776741761371964,0.23435223210377812,0.2520499627978137
rtbpd024,2,120,-0.04878673343921704,0.0529237367607422,0.0903143013489003
rtbpd024,3,120,-0.009475034286910215,0.1273599866207318,-0.005909692776898422
rtbpd024,4,120,0.15255139593546693,-0.1065348808457137,0.27388238417516136
rtbpd024,5,120,-0.1870167359872505,0.009425757164047146,-0.163995731474716
rtbpd034,1,120,0.1945982953679543,0.2807243088370074,0.04468800397877704
rtbpd034,2,120,0.22796166780715546,0.1817780813653441,0.02279346037402783
rtbpd034,3,120,0.1394420653082247,-0.06297957706210555,0.1937437290409482
rtbpd034,4,120,-0.18016012235645582,-0.11055725283740597,-0.04465612370817279
rtbpd034,5,120,-0.1844057311405288,0.14924301029930487,-0.15937245916866222
rtbpd038,1,120,-0.06590028977034866,-0.04242612472079338,-0.20916694794487475
rtbpd038,2,120,0.10571572826837454,0.03333096725546581,0.022288842933634676
rtbpd038,3,120,0.022066023363556325,0.1195711110282124,-0.0728313132190666
rtbpd038,4,120,0.2809872802884973,0.25687951141827475,0.11981187402701032
rtbpd038,5,120,0.06386896569864826,-7.799718673205472e-05,-0.05300453451078815
rtbpd040,1,120,-0.0017804395801554876,-0.10680493772366764,0.022009619494869553
rtbpd040,2,120,-0.15767302709437014,0.06978057169482307,-0.12121492043740473
rtbpd040,3,120,-0.1840456901503498,-0.018172445592468996,-0.21671548150009456
rtbpd040,4,120,-0.11458642414578034,-0.014574902879472386,-0.22161098730901932
rtbpd040,5,120,-0.15365747489225212,-0.09712319360953173,-0.046179474829930046
