montage,n_ch,target,held_out,alpha,r
epoc12_pz,13,DMN,dmnelf006,100000000.0,0.06423112765595862
epoc12_pz,13,DMN,dmnelf007,100000000.0,0.1346786473050899
epoc12_pz,13,DMN,dmnelf008,464158.8833612772,0.0005846007906384541
epoc12_pz,13,DMN,dmnelf009,2154434.6900318824,-0.012966734860614594
epoc12_pz,13,DMN,dmnelf010,215443.46900318822,0.21789697031853564
epoc12_pz,13,DMN,dmnelf011,464158.8833612772,0.2825808588065671
epoc12_pz,13,DMN,dmnelf012,464158.8833612772,0.07406885765575981
epoc12_pz,13,DMN,dmnelf013,215443.46900318822,0.005599084533173188
epoc12_pz,13,DMN,dmnelf014,215443.46900318822,-0.1573563882449525
epoc12_pz,13,DMN,dmnelf015,464158.8833612772,0.060950886765864846
epoc12_pz,13,DMN,dmnelf016,2154434.6900318824,0.2875929298029596
epoc12_pz,13,DMN,dmnelf1001,1000.0,-0.0621247602456825
epoc12_pz,13,DMN,dmnelf1002,215443.46900318822,0.02415123870046834
epoc12_pz,13,DMN,dmnelf1003,2154.4346900318824,0.13493668170339987
epoc12_pz,13,PDA,dmnelf001,1.0,0.10211231117610405
epoc12_pz,13,PDA,dmnelf002,2.154434690031884,-0.14115159193533117
epoc12_pz,13,PDA,dmnelf003,1.0,-0.10044144859094181
epoc12_pz,13,PDA,dmnelf004,2.154434690031884,-0.11762839977489818
epoc12_pz,13,PDA,dmnelf005,1.0,0.016004201329882096
epoc12_pz,13,PDA,dmnelf006,1.0,-0.17456566110713886
epoc12_pz,13,PDA,dmnelf007,1.0,-0.2448346608158284
epoc12_pz,13,PDA,dmnelf008,21.544346900318832,-0.1807172989646558
epoc12_pz,13,PDA,dmnelf009,1.0,-0.2843297141533014
epoc12_pz,13,PDA,dmnelf010,100000000.0,-0.14634604452517572
epoc12_pz,13,PDA,dmnelf011,1.0,0.1930669259939334
epoc12_pz,13,PDA,dmnelf012,1.0,0.0585465125214102
epoc12_pz,13,PDA,dmnelf013,1.0,-0.271218445706893
epoc12_pz,13,PDA,dmnelf014,1.0,0.007078465868639243
epoc12_pz,13,PDA,dmnelf015,100.0,-0.0259728500353018
epoc12_pz,13,PDA,dmnelf016,1.0,-0.03537324335257633
epoc12_pz,13,PDA,dmnelf1001,1.0,-0.039553814858354346
epoc12_pz,13,PDA,dmnelf1002,10.0,-0.036700641299956524
epoc12_pz,13,PDA,dmnelf1003,1.0,0.07515252844915306
epoc12_midline,15,CEN,dmnelf001,100000.0,0.2825532000618356
epoc12_midline,15,CEN,dmnelf002,100000.0,0.2593257990334662
epoc12_midline,15,CEN,dmnelf003,100000.0,-0.10272485705757621
epoc12_midline,15,CEN,dmnelf004,100000.0,0.13896650931341528
epoc12_midline,15,CEN,dmnelf005,215443.46900318822,0.22680582408593347
epoc12_midline,15,CEN,dmnelf006,100000.0,0.09160720577280618
epoc12_midline,15,CEN,dmnelf007,100000.0,0.2218880518394042
epoc12_midline,15,CEN,dmnelf008,46415.888336127726,0.09643771291963725
epoc12_midline,15,CEN,dmnelf009,215443.46900318822,0.16119973654653302
epoc12_midline,15,CEN,dmnelf010,464158.8833612772,0.13481326911518485
epoc12_midline,15,CEN,dmnelf011,215443.46900318822,0.28375163269053283
epoc12_midline,15,CEN,dmnelf012,215443.46900318822,0.1484783287744997
epoc12_midline,15,CEN,dmnelf013,100000.0,0.12451241793531748
epoc12_midline,15,CEN,dmnelf014,100000.0,0.11390097322482144
epoc12_midline,15,CEN,dmnelf015,46415.888336127726,0.26306746871806574
epoc12_midline,15,CEN,dmnelf016,100000.0,0.15245637229296874
epoc12_midline,15,CEN,dmnelf1001,100000.0,0.09728935300847709
epoc12_midline,15,CEN,dmnelf1002,100000.0,-0.02643113539810708
epoc12_midline,15,CEN,dmnelf1003,464158.8833612772,0.08492981264952168
epoc12_midline,15,DMN,dmnelf001,100000000.0,0.17178299088672047
epoc12_midline,15,DMN,dmnelf002,100000000.0,0.21606519795030937
epoc12_midline,15,DMN,dmnelf003,100000000.0,-0.043587497331302044
epoc12_midline,15,DMN,dmnelf004,100000000.0,0.031835802036421466
epoc12_midline,15,DMN,dmnelf005,100000000.0,0.20953752939049547
epoc12_midline,15,DMN,dmnelf006,100000000.0,0.058204773214935654
epoc12_midline,15,DMN,dmnelf007,100000000.0,0.13031352881666022
epoc12_midline,15,DMN,dmnelf008,464158.8833612772,0.000130902928312651
epoc12_midline,15,DMN,dmnelf009,21544346.900318824,-0.019781370311574977
