subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd009,04,post,CEN,20.956,8.1088,16.992,13.681
sub-rtbpd009,04,post,DANT,13.091,3.0849,4.038,0.837
sub-rtbpd009,04,post,AUD,28.573,10.0977,28.852,34.778
sub-rtbpd009,04,post,DMN,14.91,4.5175,6.736,2.337
sub-rtbpd009,04,post,SOM,16.844,5.1871,8.737,3.73
sub-rtbpd009,04,post,VIS,22.972,8.7584,20.12,16.099
sub-rtbpd009,04,post,SAL,19.908,7.2959,14.525,8.749
sub-rtbpd010,01,pre,CEN,22.002,8.9583,19.71,22.947
sub-rtbpd010,01,pre,DANT,18.504,6.1699,11.417,5.091
sub-rtbpd010,01,pre,AUD,23.219,9.5946,22.278,24.192
sub-rtbpd010,01,pre,DMN,16.769,5.1838,8.692,2.804
sub-rtbpd010,01,pre,SOM,16.498,5.2004,8.58,2.953
sub-rtbpd010,01,pre,VIS,20.985,8.2354,17.282,11.369
sub-rtbpd010,01,pre,SAL,18.163,6.6296,12.041,7.077
sub-rtbpd010,02,pre,CEN,21.68,8.855,19.198,21.653
sub-rtbpd010,02,pre,DANT,15.939,4.3509,6.935,2.065
sub-rtbpd010,02,pre,AUD,24.736,9.6046,23.758,24.949
sub-rtbpd010,02,pre,DMN,15.807,3.9744,6.282,1.516
sub-rtbpd010,02,pre,SOM,16.902,5.5202,9.33,4.006
sub-rtbpd010,02,pre,VIS,22.413,8.3953,18.816,13.758
sub-rtbpd010,02,pre,SAL,20.385,7.6924,15.681,9.316
sub-rtbpd010,03,post,CEN,23.676,8.1121,19.206,21.567
sub-rtbpd010,03,post,DANT,17.182,4.6974,8.071,3.002
sub-rtbpd010,03,post,AUD,22.433,9.1049,20.425,18.752
sub-rtbpd010,03,post,DMN,16.514,4.714,7.785,2.517
sub-rtbpd010,03,post,SOM,18.104,5.437,9.843,4.176
sub-rtbpd010,03,post,VIS,22.002,7.9389,17.467,12.5
sub-rtbpd010,03,post,SAL,22.315,7.709,17.203,12.156
sub-rtbpd010,04,post,CEN,22.108,9.015,19.93,23.79
sub-rtbpd010,04,post,DANT,16.827,5.1005,8.583,3.296
sub-rtbpd010,04,post,AUD,20.113,9.3814,18.869,15.974
