epoch	train_total	val_total	val_pda	lr
5	5.339500	6.443627	0.327471	1.00e-04
10	5.103438	6.355373	0.329005	1.00e-04
15	4.913888	6.302844	0.331235	1.00e-04
20	4.763529	6.379462	0.342119	1.00e-04
25	4.594373	6.472135	0.353127	1.00e-04
30	4.474669	6.591280	0.366812	1.00e-04
35	4.377383	6.556911	0.364607	1.00e-04
40	4.250770	6.513520	0.361242	1.00e-04
45	4.196199	6.620625	0.374290	1.00e-04
50	4.148257	6.599944	0.373465	1.00e-04
55	4.065885	6.547195	0.369725	1.00e-04
60	4.010079	6.683124	0.383463	1.00e-04
65	3.963608	6.568039	0.373205	1.00e-04
70	3.934203	6.723833	0.388445	1.00e-04
75	3.893910	6.633369	0.380066	1.00e-04
80	3.839916	6.719687	0.390027	1.00e-04
85	3.807907	6.521932	0.370046	1.00e-04
90	3.767530	6.668940	0.385762	1.00e-04
95	3.731830	6.489785	0.367940	1.00e-04
100	3.709673	6.635178	0.382799	1.00e-04
105	3.680347	6.542613	0.373423	1.00e-04
epoch	train_total	val_total	val_pda	lr
5	5.315074	6.404718	0.325348	1.00e-04
10	5.080582	6.344922	0.330554	1.00e-04
15	4.885134	6.322913	0.333192	1.00e-04
20	4.726699	6.345743	0.337919	1.00e-04
25	4.555120	6.233276	0.329853	1.00e-04
30	4.423100	6.205046	0.329340	1.00e-04
35	4.305430	6.128426	0.323906	1.00e-04
40	4.232257	6.106192	0.321755	1.00e-04
45	4.175745	6.114728	0.325766	1.00e-04
50	4.105706	6.128885	0.326755	1.00e-04
55	4.052895	6.016028	0.316131	1.00e-04
60	3.991416	6.005090	0.315876	1.00e-04
65	3.921943	6.010652	0.317117	1.00e-04
70	3.883714	6.067780	0.323466	1.00e-04
75	3.855527	6.062834	0.324053	1.00e-04
80	3.806871	5.908875	0.309541	1.00e-04
85	3.778695	6.005628	0.320014	1.00e-04
90	3.737301	5.914772	0.310446	1.00e-04
95	3.708530	5.944792	0.313590	1.00e-04
100	3.683329	5.985460	0.318001	1.00e-04
105	3.662614	5.915049	0.312712	1.00e-04
110	3.623575	5.899648	0.309780	1.00e-04
115	3.622030	5.992643	0.318296	1.00e-04
120	3.594855	6.044585	0.324303	1.00e-04
125	3.553025	5.926924	0.314226	1.00e-04
130	3.532204	6.014964	0.321907	1.00e-04
135	3.541923	5.955169	0.317089	1.00e-04
140	3.467256	6.049965	0.326108	1.00e-04
145	3.479230	6.029448	0.325116	1.00e-04
150	3.458643	5.984525	0.320961	1.00e-04
155	3.445939	6.042953	0.325706	1.00e-04
160	3.428721	6.069952	0.328630	1.00e-04
165	3.406265	6.089687	0.329308	1.00e-04
170	3.408699	6.047950	0.325417	1.00e-04
175	3.365667	6.072410	0.327233	1.00e-04
180	3.380883	6.079703	0.329424	1.00e-04
185	3.356829	6.049341	0.326379	1.00e-04
