subject,target,ttype,mode,window,r
dmnelf013,CEN,orig,best,fb,0.08430236389309627
dmnelf013,CEN,orig,frontal,fb,0.19917809056519392
dmnelf013,CEN,orig,all,fb,0.1764742014041808
dmnelf013,CEN,orig,epoc,fb,0.030521759143613946
dmnelf013,CEN,orig,epoc_afproxy,fb,0.0418959612359214
dmnelf013,DMN,orig,best,fb,0.3389287211558042
dmnelf013,DMN,orig,frontal,fb,0.3346169203012163
dmnelf013,DMN,orig,all,fb,0.32454467156547984
dmnelf013,DMN,orig,epoc,fb,0.2977694257528493
dmnelf013,DMN,orig,epoc_afproxy,fb,0.30024266534918825
dmnelf013,PDA,orig,best,fb,0.4055358824487583
dmnelf013,PDA,orig,frontal,fb,0.48515267269858187
dmnelf013,PDA,orig,all,fb,0.5294201771372736
dmnelf013,PDA,orig,epoc,fb,0.5573295880797998
dmnelf013,PDA,orig,epoc_afproxy,fb,0.5607208158107494
dmnelf013,CEN,clean,best,fb,0.06018080614866303
dmnelf013,CEN,clean,frontal,fb,-0.013604244581502056
dmnelf013,CEN,clean,all,fb,0.013210775798159949
dmnelf013,CEN,clean,epoc,fb,0.03731623476243612
dmnelf013,CEN,clean,epoc_afproxy,fb,0.03613217954194297
dmnelf013,DMN,clean,best,fb,-0.027596450563994616
dmnelf013,DMN,clean,frontal,fb,0.02185383566972789
dmnelf013,DMN,clean,all,fb,0.010886243229331537
dmnelf013,DMN,clean,epoc,fb,0.01823184087095773
dmnelf013,DMN,clean,epoc_afproxy,fb,0.01992469189824599
dmnelf013,PDA,clean,best,fb,0.003923195216196716
dmnelf013,PDA,clean,frontal,fb,0.04858450819033406
dmnelf013,PDA,clean,all,fb,0.06201241551582605
dmnelf013,PDA,clean,epoc,fb,0.07893562496287142
dmnelf013,PDA,clean,epoc_afproxy,fb,0.07991588248132125
