subject,target,ttype,mode,window,r
dmnelf005,CEN,orig,best,fb,0.3675916851590343
dmnelf005,CEN,orig,frontal,fb,0.4669500727173017
dmnelf005,CEN,orig,all,fb,0.5213115234095363
dmnelf005,CEN,orig,epoc,fb,0.46195523948859496
dmnelf005,CEN,orig,epoc_afproxy,fb,0.45555259082296473
dmnelf005,DMN,orig,best,fb,0.08747955958220789
dmnelf005,DMN,orig,frontal,fb,0.06356377612564348
dmnelf005,DMN,orig,all,fb,0.08115187961546395
dmnelf005,DMN,orig,epoc,fb,0.04984473950734741
dmnelf005,DMN,orig,epoc_afproxy,fb,0.03619321647232642
dmnelf005,PDA,orig,best,fb,0.23731701904101393
dmnelf005,PDA,orig,frontal,fb,0.4251950528686592
dmnelf005,PDA,orig,all,fb,0.5273520080460512
dmnelf005,PDA,orig,epoc,fb,0.37309289448663757
dmnelf005,PDA,orig,epoc_afproxy,fb,0.38413010566453226
dmnelf005,CEN,clean,best,fb,0.3474507377396364
dmnelf005,CEN,clean,frontal,fb,0.36120844488665993
dmnelf005,CEN,clean,all,fb,0.32408740027199534
dmnelf005,CEN,clean,epoc,fb,0.2980188540992116
dmnelf005,CEN,clean,epoc_afproxy,fb,0.305091871462736
dmnelf005,DMN,clean,best,fb,0.00870435948415968
dmnelf005,DMN,clean,frontal,fb,-0.06102646835952641
dmnelf005,DMN,clean,all,fb,-0.006664424915808975
dmnelf005,DMN,clean,epoc,fb,-0.0651730472084555
dmnelf005,DMN,clean,epoc_afproxy,fb,-0.09120871191560849
dmnelf005,PDA,clean,best,fb,0.05478185645200775
dmnelf005,PDA,clean,frontal,fb,0.25046363512413233
dmnelf005,PDA,clean,all,fb,0.22874088813914747
dmnelf005,PDA,clean,epoc,fb,0.174902291303109
dmnelf005,PDA,clean,epoc_afproxy,fb,0.15606338700926897
