subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,-0.014012477,0.7799487703780198,-0.03421540134625841,0.4950073576559715,0.30706474,0.24836361,0.470675,-0.17884946,400
dmnelf002,0.080550365,0.1077083481337712,0.1016940730879568,0.04207383650275479,0.3472418,0.2792426,0.5591999999999999,-0.18783164,400
dmnelf003,-0.030760782,0.5395886402077319,-0.14747792173701085,0.003111419559535867,0.4554957,0.25808808,0.40442500000000003,-0.14075518,400
dmnelf004,-0.39866066,1.0892249708034326e-16,-0.37918418240114005,3.990768896785369e-15,0.5854548,0.4841584,0.3316,-0.122234225,400
dmnelf005,-0.0945357,0.058887852219217225,-0.13433558959743497,0.007134309930166179,0.352327,0.2705534,0.4345,-0.2704059,400
dmnelf006,-0.27598366,2.0028330028069436e-08,-0.3395511221945136,2.990576274068415e-12,0.4652527,0.38901332,0.29242500000000005,-0.45545197,400
dmnelf007,-0.10728373,0.031940531977954725,-0.14175069844186525,0.004504314982455227,0.38929117,0.30668175,0.394775,-0.029742837,400
dmnelf008,-0.040453717,0.4197403541926022,-0.013645960287251794,0.7855622193177639,0.50581956,0.3506181,0.53325,-0.089413285,400
dmnelf009,-0.07933095,0.11315944499301178,-0.07853017831361446,0.11685526305874343,0.41401473,0.31885216,0.45322500000000004,-0.14714777,400
dmnelf010,-0.11782952,0.0184017307390034,-0.07975868599178745,0.1112230487564628,0.35927796,0.28475943,0.485625,-0.0708307,400
dmnelf011,0.08280693,0.09816870311472158,0.09281476759229744,0.06366896017610331,0.25952187,0.2006115,0.532525,-0.06408048,400
dmnelf012,-0.18507756,0.0001975158856141356,-0.24021787636172723,1.1698548836391104e-06,0.3851835,0.30450615,0.39092499999999997,-0.12801898,400
dmnelf013,0.06347026,0.2052590828630882,0.04277239232745204,0.3935699059507646,0.16300656,0.10347687,0.5179250000000001,-0.06674135,400
dmnelf014,0.0012040695,0.9808486795614458,-0.015410533815836349,0.7586421476077095,0.44552442,0.36248124,0.47120000000000006,-0.1299702,400
dmnelf015,-0.10635763,0.03345918916130621,-0.1098715616972606,0.028005429797642787,0.58268,0.46130958,0.44589999999999996,-0.16431713,400
dmnelf016,-0.04701688,0.3482890345448828,-0.05540265876661729,0.2689712628591933,0.36097983,0.29116455,0.5063,-0.1573478,400
dmnelf1001,-0.087403856,0.08081965194147067,-0.09561753510959442,0.056037234747127705,0.37124813,0.29792017,0.44659999999999994,-0.056799293,400
dmnelf1002,-0.12468977,0.012569502620008745,-0.06098513115706973,0.22359713674084628,0.34772724,0.27035046,0.4508,-0.42599857,400
dmnelf1003,-0.03915473,0.4652812438107247,0.007289202360835598,0.8919142002612112,0.36704835,0.2932449,0.545665306122449,-0.34290397,350
